game_pk,game_date,season,game_type,status_code,doubleheader,game_number,home_id,home_abbr,away_id,away_abbr,venue_id,statsapi_path,statsapi_bytes,statsapi_sha256,savant_path,savant_rows,savant_bytes,savant_sha256
748123,2024-03-03,2024,S,F,N,1,133,OAK,140,TEX,2507,,,,,,,
748124,2024-03-03,2024,S,F,N,1,118,KC,113,CIN,2603,,,,,,,
748125,2024-03-03,2024,S,F,N,1,112,CHC,114,CLE,4629,,,,,,,
748126,2024-03-03,2024,S,F,N,1,119,LAD,115,COL,3809,,,,,,,
748127,2024-03-03,2024,S,F,N,1,144,ATL,143,PHI,5380,,,,,,,
748128,2024-03-03,2024,S,C,N,1,138,STL,146,MIA,2520,,,,,,,
748129,2024-03-03,2024,S,F,N,1,111,BOS,141,TOR,4309,,,,,,,
748130,2024-03-03,2024,S,C,N,1,120,WSH,146,MIA,5000,,,,,,,
748131,2024-03-03,2024,S,F,N,1,121,NYM,117,HOU,2856,,,,,,,
748132,2024-03-03,2024,S,F,N,1,142,MIN,139,TB,2862,,,,,,,
748133,2024-03-03,2024,S,F,N,1,147,NYY,116,DET,2523,,,,,,,
748134,2024-03-03,2024,S,F,N,1,134,PIT,110,BAL,2526,,,,,,,
748106,2024-03-04,2024,S,F,N,1,115,COL,137,SF,4249,,,,,,,
748107,2024-03-04,2024,S,F,N,1,113,CIN,133,OAK,3834,,,,,,,
748109,2024-03-04,2024,S,F,N,1,145,CWS,109,AZ,3809,,,,,,,
748110,2024-03-04,2024,S,F,N,1,135,SD,112,CHC,2530,,,,,,,
748111,2024-03-04,2024,S,F,N,1,140,TEX,108,LAA,2603,,,,,,,
748112,2024-03-04,2024,S,F,N,1,146,MIA,147,NYY,2520,,,,,,,
748113,2024-03-04,2024,S,F,N,1,141,TOR,143,PHI,2536,,,,,,,
748114,2024-03-04,2024,S,F,N,1,142,MIN,144,ATL,2862,,,,,,,
748115,2024-03-04,2024,S,F,N,1,116,DET,111,BOS,2511,,,,,,,
748116,2024-03-04,2024,S,F,N,1,139,TB,134,PIT,2534,,,,,,,
748117,2024-03-04,2024,S,F,N,1,110,BAL,142,MIN,2508,,,,,,,
748118,2024-03-04,2024,S,F,N,1,120,WSH,138,STL,5000,,,,,,,
748094,2024-03-05,2024,S,F,N,1,109,AZ,135,SD,4249,,,,,,,
748095,2024-03-05,2024,S,F,N,1,136,SEA,140,TEX,2530,,,,,,,
748096,2024-03-05,2024,S,F,N,1,114,CLE,136,SEA,3834,,,,,,,
748097,2024-03-05,2024,S,F,N,1,137,SF,158,MIL,2532,,,,,,,
748098,2024-03-05,2024,S,F,N,1,121,NYM,147,NYY,2856,,,,,,,
748099,2024-03-05,2024,S,F,N,1,118,KC,112,CHC,2603,,,,,,,
748100,2024-03-05,2024,S,F,N,1,119,LAD,108,LAA,3809,,,,,,,
748101,2024-03-05,2024,S,F,N,1,117,HOU,146,MIA,5000,,,,,,,
748102,2024-03-05,2024,S,F,N,1,134,PIT,141,TOR,2526,,,,,,,
748103,2024-03-05,2024,S,F,N,1,144,ATL,116,DET,5380,,,,,,,
748104,2024-03-05,2024,S,F,N,1,111,BOS,139,TB,4309,,,,,,,
748105,2024-03-05,2024,S,F,N,1,138,STL,142,MIN,2520,,,,,,,
