year,season_id,date,home_team,home_team_id,home_team_conference,home_team_conference_id,home_team_slug,home_team_division,away_team,away_team_id,away_team_conference,away_team_conference_id,away_team_slug,away_team_division,neutral_site,result,score,innings,slug,game_info_url,Date,Opponent,Result,opponent_slug
2020,15204,02/25/2020,Northern St.,1266,NSIC,12853,/team/1266/15204,2,St. Cloud St.,598,NSIC,12853,/team/598/15204,2,NA,L,0-9,NA,/contests/1831142/box_score,https://stats.ncaa.org/contests/1831142/box_score,NA,NA,NA,NA
2020,15204,02/25/2020,St. Cloud St.,598,NSIC,12853,/team/598/15204,2,Northern St.,1266,NSIC,12853,/team/1266/15204,2,NA,L,1-3,9,/contests/1831093/box_score,https://stats.ncaa.org/contests/1831093/box_score,NA,NA,NA,NA
2020,15204,02/28/2020,Regis (CO),568,RMAC,13128,/team/568/15204,2,Northern St.,1266,NSIC,12853,/team/1266/15204,2,NA,L,8-12,NA,/contests/1832360/box_score,https://stats.ncaa.org/contests/1832360/box_score,NA,NA,NA,NA
2020,15204,02/29/2020,Regis (CO),568,RMAC,13128,/team/568/15204,2,Northern St.,1266,NSIC,12853,/team/1266/15204,2,NA,L,3-6,NA,/contests/1832700/box_score,https://stats.ncaa.org/contests/1832700/box_score,NA,NA,NA,NA
2020,15204,02/29/2020,Regis (CO),568,RMAC,13128,/team/568/15204,2,Northern St.,1266,NSIC,12853,/team/1266/15204,2,NA,L,4-5,NA,/contests/1848790/box_score,https://stats.ncaa.org/contests/1848790/box_score,NA,NA,NA,NA
2020,15204,03/01/2020,Regis (CO),568,RMAC,13128,/team/568/15204,2,Northern St.,1266,NSIC,12853,/team/1266/15204,2,NA,L,5-6,NA,/contests/1833067/box_score,https://stats.ncaa.org/contests/1833067/box_score,NA,NA,NA,NA
2020,15204,03/05/2020,Northern St.,1266,NSIC,12853,/team/1266/15204,2,Seton Hill ,30063,PSAC,906,/team/30063/15204,2,"Winter Haven, FL",L,3-12,NA,/contests/1833641/box_score,https://stats.ncaa.org/contests/1833641/box_score,NA,NA,NA,NA
2020,15204,03/06/2020,Findlay ,1079,G-MAC,30182,/team/1079/15204,2,Northern St.,1266,NSIC,12853,/team/1266/15204,2,"Kissimmee, FL",L,2-14,NA,/contests/1833729/box_score,https://stats.ncaa.org/contests/1833729/box_score,NA,NA,NA,NA
2020,15204,03/06/2020,Northern St.,1266,NSIC,12853,/team/1266/15204,2,St. Anselm ,593,NE10,899,/team/593/15204,2,"Kissimmee, FL",L,2-10,NA,/contests/1833726/box_score,https://stats.ncaa.org/contests/1833726/box_score,NA,NA,NA,NA
2020,15204,03/07/2020,Northern St.,1266,NSIC,12853,/team/1266/15204,2,Tiffin ,1403,G-MAC,30182,/team/1403/15204,2,"Kissimmee, FL",L,2-7,NA,/contests/1834036/box_score,https://stats.ncaa.org/contests/1834036/box_score,NA,NA,NA,NA
2020,15204,03/09/2020,Northern St.,1266,NSIC,12853,/team/1266/15204,2,Wayne St. (MI) ,757,GLIAC,854,/team/757/15204,2,"Kissimmee, FL",L,2-8,NA,/contests/1971592/box_score,https://stats.ncaa.org/contests/1971592/box_score,NA,NA,NA,NA
2020,15204,03/10/2020,Northern St.,1266,NSIC,12853,/team/1266/15204,2,Wayne St. (NE) ,1433,NSIC,12853,/team/1433/15204,2,"Kissimmee, Fla.",L,0-8,NA,/contests/1834855/box_score,https://stats.ncaa.org/contests/1834855/box_score,NA,NA,NA,NA
2020,15204,03/11/2020,Northern St.,1266,NSIC,12853,/team/1266/15204,2,St. Cloud St. ,598,NSIC,12853,/team/598/15204,2,"Kissimmee, FL",W,11-7,NA,/contests/1835081/box_score,https://stats.ncaa.org/contests/1835081/box_score,NA,NA,NA,NA
2020,15204,01/31/2020,Southeastern Okla.,1371,GAC,30144,/team/1371/15204,2,Northwest Mo. St.,507,Mid-America Intercollegiate,883,/team/507/15204,2,NA,L,1-8,NA,/contests/1829569/box_score,https://stats.ncaa.org/contests/1829569/box_score,NA,NA,NA,NA
2020,15204,02/01/2020,Southeastern Okla.,1371,GAC,30144,/team/1371/15204,2,Northwest Mo. St.,507,Mid-America Intercollegiate,883,/team/507/15204,2,NA,W,16-3,NA,/contests/1829634/box_score,https://stats.ncaa.org/contests/1829634/box_score,NA,NA,NA,NA
2020,15204,02/01/2020,Southeastern Okla.,1371,GAC,30144,/team/1371/15204,2,Northwest Mo. St.,507,Mid-America Intercollegiate,883,/team/507/15204,2,NA,L,1-2,NA,/contests/1848340/box_score,https://stats.ncaa.org/contests/1848340/box_score,NA,NA,NA,NA
2020,15204,02/02/2020,Southeastern Okla.,1371,GAC,30144,/team/1371/15204,2,Northwest Mo. St.,507,Mid-America Intercollegiate,883,/team/507/15204,2,NA,W,16-5,NA,/contests/1829710/box_score,https://stats.ncaa.org/contests/1829710/box_score,NA,NA,NA,NA
2020,15204,02/07/2020,Henderson St.,1123,GAC,30144,/team/1123/15204,2,Northwest Mo. St.,507,Mid-America Intercollegiate,883,/team/507/15204,2,NA,W,10-6,NA,/contests/1829851/box_score,https://stats.ncaa.org/contests/1829851/box_score,NA,NA,NA,NA
2020,15204,02/08/2020,Northwest Mo. St.,507,Mid-America Intercollegiate,883,/team/507/15204,2,Ouachita Baptist ,1289,GAC,30144,/team/1289/15204,2,"Arkadelphia, AR",W,9-7,NA,/contests/1829965/box_score,https://stats.ncaa.org/contests/1829965/box_score,NA,NA,NA,NA
2020,15204,02/09/2020,Northwest Mo. St.,507,Mid-America Intercollegiate,883,/team/507/15204,2,Okla. Baptist ,30202,GAC,30144,/team/30202/15204,2,"Arkadelphia, AR",W,9-2,NA,/contests/1830011/box_score,https://stats.ncaa.org/contests/1830011/box_score,NA,NA,NA,NA
2020,15204,02/14/2020,Maryville (MO) ,395,GLVC,855,/team/395/15204,2,Northwest Mo. St.,507,Mid-America Intercollegiate,883,/team/507/15204,2,"Joplin, MO",L,1-7,NA,/contests/1830130/box_score,https://stats.ncaa.org/contests/1830130/box_score,NA,NA,NA,NA
2020,15204,02/15/2020,Northwest Mo. St.,507,Mid-America Intercollegiate,883,/team/507/15204,2,St. Cloud St. ,598,NSIC,12853,/team/598/15204,2,"Joplin, MO",L,2-3,NA,/contests/1830384/box_score,https://stats.ncaa.org/contests/1830384/box_score,NA,NA,NA,NA
2020,15204,02/16/2020,Mo.-St. Louis ,436,GLVC,855,/team/436/15204,2,Northwest Mo. St.,507,Mid-America Intercollegiate,883,/team/507/15204,2,"Joplin, MO",L,1-8,NA,/contests/1830886/box_score,https://stats.ncaa.org/contests/1830886/box_score,NA,NA,NA,NA
2020,15204,02/17/2020,McKendree ,30138,GLVC,855,/team/30138/15204,2,Northwest Mo. St.,507,Mid-America Intercollegiate,883,/team/507/15204,2,"Joplin, MO",L,2-3,NA,/contests/1830154/box_score,https://stats.ncaa.org/contests/1830154/box_score,NA,NA,NA,NA
2020,15204,02/21/2020,UC-Colo. Springs,9754,RMAC,13128,/team/9754/15204,2,Northwest Mo. St.,507,Mid-America Intercollegiate,883,/team/507/15204,2,NA,L,8-11,NA,/contests/1831187/box_score,https://stats.ncaa.org/contests/1831187/box_score,NA,NA,NA,NA
2020,15204,02/22/2020,UC-Colo. Springs,9754,RMAC,13128,/team/9754/15204,2,Northwest Mo. St.,507,Mid-America Intercollegiate,883,/team/507/15204,2,NA,L,3-13,NA,/contests/1831830/box_score,https://stats.ncaa.org/contests/1831830/box_score,NA,NA,NA,NA
2020,15204,02/22/2020,UC-Colo. Springs,9754,RMAC,13128,/team/9754/15204,2,Northwest Mo. St.,507,Mid-America Intercollegiate,883,/team/507/15204,2,NA,L,6-18,NA,/contests/1831458/box_score,https://stats.ncaa.org/contests/1831458/box_score,NA,NA,NA,NA
